,muni_code,value,parameter
0,161,0.0,1
1,161,7695.153279944508,erhvervsindkomst
2,161,1356.1204375950626,formueindkomst
3,161,0.0,anden_personlig_indkomst
4,161,-1144.2113354208373,kont_recip_tot
5,161,0.0,gini_index
6,161,0.0,pop_dens
7,161,-0.0,housing_type_Rækkehus
8,161,28533.63682931899,housing_type_Ejerlejlighed
9,161,-0.0,housing_type_Villa
10,165,0.0,1
11,165,1310.8412233865376,erhvervsindkomst
12,165,1306.5772158427862,formueindkomst
13,165,577.7822893641712,anden_personlig_indkomst
14,165,-1330.0923232779198,kont_recip_tot
15,165,899.4797685866871,gini_index
16,165,-1181.0755837174954,pop_dens
17,165,-219.07214173975527,housing_type_Ejerlejlighed
18,165,168.98466883250646,housing_type_Villa
19,165,41.087267829510886,housing_type_Rækkehus
