,muni_code,Train,Test,sample size
0,161,3511191.7342151366,1196756562.7646394,2
1,161,16315625.345648825,1263895075.7480364,5
2,161,52907742.10781641,5774596855.5999365,8
3,161,474215820.2300683,3079087269.7673616,10
4,161,661944164.0155529,1639528117.4354765,13
5,161,653775765.8210413,1342280676.6099734,16
6,161,620912804.1944338,1252234431.547298,18
7,161,547580905.2835844,1173210932.7774708,21
8,161,553931471.0420533,1086543724.1592853,24
9,161,523714554.7032819,1050656301.5696319,27
10,161,527141735.83906996,1050698776.9637684,29
11,161,528983294.8441042,1013160829.5693696,32
12,161,534653949.46026677,976746700.7646173,35
13,161,537448626.9939469,970063084.842365,37
14,161,511576395.8024975,975757228.1879323,40
15,161,494891655.33498794,993973746.2957014,43
16,161,484954056.71058196,990869054.9853566,45
17,161,475755850.18182915,994868831.9620947,48
18,161,471108399.8670071,993995301.7405081,51
19,161,825191669.5035021,1029347201.240371,54
20,165,214401.0364138616,3895648514.481097,2
21,165,32595806.54980263,1144538709.283819,5
22,165,121720771.776041,5196433021.051746,8
23,165,559135232.694278,2534197373.454365,10
24,165,780570748.2640831,1398496921.912293,13
25,165,733897619.7760298,1237805478.1460981,16
26,165,673582876.1130865,1260316622.304816,18
27,165,607920893.568571,1173571535.4151661,21
28,165,602753299.0387987,1109322383.3526278,24
29,165,563583869.9929259,1067641295.7785835,27
30,165,556304879.1411166,1066077675.4808731,29
31,165,549067394.2911667,1047423895.8720108,32
32,165,546511222.5542088,1049341484.9868124,35
33,165,540972751.8324926,1035294009.0432552,37
34,165,513865046.7635276,1022159077.7970177,40
35,165,489098815.2897245,1024980232.8360987,43
36,165,477779747.0334938,1017519315.5936458,45
37,165,469492929.45582163,1010175732.6407055,48
38,165,462731574.16533977,1006332268.2610035,51
39,165,835104739.5380591,1027471221.003048,54
