,muni_name,km2,muni_code
0,København,86.6,101
1,Aarhus,467.9,751
2,Aalborg,1137.4,851
3,Odense,305.6,461
4,Vejle,1058.4,630
5,Esbjerg,795.1,561
6,Frederiksberg,8.7,147
7,Randers,747.8,730
8,Silkeborg,850.3,740
9,Viborg,1408.9,791
10,Horsens,519.4,615
11,Kolding,604.4,621
12,Roskilde,211.8,265
13,Herning,1321.1,657
14,Næstved,676.8,370
15,Slagelse,568.0,330
16,Gentofte,25.6,157
17,Sønderborg,496.5,540
18,Holbæk,577.2,316
19,Gladsaxe,24.9,159
20,Skanderborg,416.9,746
21,Hjørring,926.8,860
22,Helsingør,118.9,217
23,Køge,257.2,259
24,Guldborgsund,900.6,376
25,Svendborg,415.4,479
26,Aabenraa,940.7,580
27,Holstebro,793.0,661
28,Frederikshavn,651.4,813
29,Lyngby-Taarbæk,38.8,173
30,Rudersdal,73.3,230
31,Ringkøbing-Skjern,1470.5,760
32,Haderslev,816.8,510
33,Høje-Taastrup,78.3,169
34,Hillerød,213.5,219
35,Hvidovre,22.9,167
36,Faaborg-Midtfyn,633.9,430
37,Fredericia,133.6,607
38,Greve,60.4,253
39,Ballerup,34.0,151
40,Varde,1240.1,573
41,Favrskov,540.3,710
42,Kalundborg,575.3,326
43,Hedensted,551.0,766
44,Frederikssund,248.5,250
45,Vordingborg,619.5,390
46,Egedal,125.9,240
47,Skive,683.4,779
48,Syddjurs,689.8,706
49,Thisted,1073.9,787
50,Tårnby,66.1,185
51,Vejen,813.7,575
52,Rødovre,12.2,175
53,Ikast-Brande,733.5,756
54,Furesø,56.8,190
55,Mariagerfjord,718.3,846
56,Fredensborg,112.1,210
57,Gribskov,279.5,270
58,Assens,511.5,420
59,Middelfart,298.9,410
60,Lolland,886.1,360
61,Bornholm,588.4,400
62,Jammerbugt,864.1,849
63,Faxe,404.9,320
64,Brøndby,21.0,153
65,Norddjurs,721.0,707
66,Tønder,1283.9,550
67,Brønderslev,633.1,810
68,Vesthimmerland,769.8,
69,Ringsted,294.7,329
70,Odsherred,354.1,306
71,Nyborg,276.8,450
72,Halsnæs,121.9,260
73,Rebild,621.3,840
74,Sorø,308.5,340
75,Nordfyn,452.3,
76,Herlev,12.1,163
77,Lejre,238.9,350
78,Albertslund,23.2,165
79,Billund,540.2,530
80,Allerød,67.4,201
81,Hørsholm,31.3,223
82,Solrød,40.1,269
83,Kerteminde,205.9,440
84,Stevns,250.1,336
85,Glostrup,13.3,161
86,Odder,233.7,727
87,Ishøj,26.5,183
88,Struer,246.2,671
89,Morsø,366.4,773
90,Lemvig,508.8,665
91,Vallensbæk,9.5,187
92,Dragør,18.3,155
93,Langeland,289.2,482
94,Ærø,90.1,492
95,Samsø,113.6,741
96,Fanø,57.6,563
97,Læsø,120.5,825
