,muni_name,old_muni_name,region,muni_code,old_muni_code
0,Assens,Assens,syd,420,421.0
1,Assens,Glamsbjerg,syd,420,433.0
2,Assens,Haarby,syd,420,437.0
3,Assens,Tommerup,syd,420,485.0
4,Assens,Vissenbjerg,syd,420,491.0
5,Assens,Aarup,syd,420,499.0
6,Billund,Billund,syd,530,551.0
7,Billund,Grindsted,syd,530,565.0
8,Esbjerg,Bramming,syd,561,557.0
9,Esbjerg,Esbjerg,syd,561,561.0
10,Esbjerg,Ribe,syd,561,571.0
11,Fanø,Fanø,syd,563,563.0
12,Fredericia,Fredericia,syd,607,607.0
13,Faaborg-Midtfyn,Broby,syd,430,425.0
14,Faaborg-Midtfyn,Faaborg,syd,430,431.0
15,Faaborg-Midtfyn,Ringe,syd,430,473.0
16,Faaborg-Midtfyn,Ryslinge,syd,430,477.0
17,Faaborg-Midtfyn,Årslev,syd,430,497.0
18,Haderslev,Gram,syd,510,511.0
19,Haderslev,Haderslev,syd,510,515.0
20,Haderslev,Vojens,syd,510,543.0
21,Kerteminde,Kerteminde,syd,440,439.0
22,Kerteminde,Langeskov,syd,440,441.0
23,Kerteminde,Munkebo,syd,440,447.0
24,Kolding,Christiansfeld,syd,621,509.0
25,Kolding,Kolding,syd,621,621.0
26,Kolding,Lunderskov,syd,621,623.0
27,Kolding,Vamdrup,syd,621,629.0
28,Langeland,Rudkøbing,syd,482,475.0
29,Langeland,Sydlangeland,syd,482,481.0
30,Langeland,Tranekær,syd,482,487.0
31,Middelfart,Ejby,syd,410,429.0
32,Middelfart,Middelfart,syd,410,445.0
33,Middelfart,Nørre Aaby,syd,410,451.0
34,Nordfyns,Bogense,syd,480,423.0
35,Nordfyns,Otterup,syd,480,471.0
36,Nordfyns,Søndersø,syd,480,483.0
37,Nyborg,Nyborg,syd,450,449.0
38,Nyborg,Ullerslev,syd,450,489.0
39,Nyborg,Ørbæk,syd,450,495.0
40,Odense,Odense,syd,461,461.0
41,Svendborg,Egebjerg,syd,479,427.0
42,Svendborg,Gudme,syd,479,435.0
43,Svendborg,Svendborg,syd,479,479.0
44,Sønderborg,Augustenborg,syd,540,501.0
45,Sønderborg,Broager,syd,540,507.0
46,Sønderborg,Gråsten,syd,540,513.0
47,Sønderborg,Nordborg,syd,540,523.0
48,Sønderborg,Sønderborg,syd,540,537.0
49,Sønderborg,Sundeved,syd,540,533.0
50,Sønderborg,Sydals,syd,540,535.0
51,Tønder,Tønder,syd,550,541.0
52,Tønder,Bredebro,syd,550,505.0
53,Tønder,Højer,syd,550,517.0
54,Tønder,Løgumkloster,syd,550,521.0
55,Tønder,Nørre Rangstrup,syd,550,525.0
56,Tønder,Skærbæk,syd,550,531.0
57,Varde,Blåbjerg,syd,573,553.0
58,Varde,Blåvandshuk,syd,573,555.0
59,Varde,Helle,syd,573,567.0
60,Varde,Varde,syd,573,573.0
61,Varde,Ølgod,syd,573,577.0
62,Vejen,Brørup,syd,575,559.0
63,Vejen,Holsted,syd,575,569.0
64,Vejen,Rødding,syd,575,527.0
65,Vejen,Vejen,syd,575,575.0
66,Vejle,Børkop,syd,630,603.0
67,Vejle,Egtved,syd,630,605.0
68,Vejle,Give,syd,630,611.0
69,Vejle,Jelling,syd,630,617.0
70,Vejle,Vejle,syd,630,631.0
71,Ærø,Marstal,syd,492,
72,Ærø,Ærøskøbing,syd,492,
73,Aabenraa,Bov,syd,580,503.0
74,Aabenraa,Lundtoft,syd,580,519.0
75,Aabenraa,Rødekro,syd,580,529.0
76,Aabenraa,Tinglev,syd,580,539.0
77,Aabenraa,Aabenraa,syd,580,545.0
78,Albertslund,Albertslund,h,165,165.0
79,Allerød,Allerød,h,201,201.0
80,Ballerup,Ballerup,h,151,151.0
81,Bornholm,Bornholm,h,400,
82,Brøndby,Brøndby,h,153,153.0
83,Dragør,Dragør,h,155,155.0
84,Egedal,Ledøje-Smørum,h,240,171.0
85,Egedal,Stenløse,h,240,235.0
86,Egedal,Ølstykke,h,240,237.0
87,Fredensborg,Fredensborg-Humlebæk,h,210,208.0
88,Fredensborg,Karlebo,h,210,227.0
89,Frederiksberg,Frederiksberg,h,147,147.0
90,Frederikssund,Frederikssund,h,250,209.0
91,Frederikssund,Jægerspris,h,250,225.0
92,Frederikssund,Skibby,h,250,229.0
93,Frederikssund,Slangerup,h,250,233.0
94,Furesø,Farum,h,190,207.0
95,Furesø,Værløse,h,190,189.0
96,Gentofte,Gentofte,h,157,157.0
97,Gladsaxe,Gladsaxe,h,159,159.0
98,Glostrup,Glostrup,h,161,161.0
99,Gribskov,Græsted-Gilleleje,h,270,213.0
100,Gribskov,Helsinge,h,270,215.0
101,Halsnæs,Frederiksværk,h,260,211.0
102,Halsnæs,Hundested,h,260,221.0
103,Helsingør,Helsingør,h,217,217.0
104,Herlev,Herlev,h,163,163.0
105,Hillerød,Hillerød,h,219,219.0
106,Hillerød,Skævinge,h,219,231.0
107,Hvidovre,Hvidovre,h,167,167.0
108,Høje-Taastrup,Høje-Taastrup,h,169,
109,Hørsholm,Hørsholm,h,223,223.0
110,Ishøj,Ishøj,h,183,183.0
111,København,København,h,101,101.0
112,Lyngby-Taarbæk,Lyngby-Taarbæk,h,173,173.0
113,Rudersdal,Birkerød,h,230,205.0
114,Rudersdal,Søllerød,h,230,181.0
115,Rødovre,Rødovre,h,175,175.0
116,Tårnby,Tårnby,h,185,185.0
117,Vallensbæk,Vallensbæk,h,187,187.0
118,Brønderslev,Brønderslev,nord,810,805.0
119,Brønderslev,Dronninglund,nord,810,807.0
120,Frederikshavn,Frederikshavn,nord,813,813.0
121,Frederikshavn,Skagen,nord,813,841.0
122,Frederikshavn,Sæby,nord,813,847.0
123,Hjørring,Hirtshals,nord,860,819.0
124,Hjørring,Hjørring,nord,860,821.0
125,Hjørring,Løkken-Vrå,nord,860,829.0
126,Hjørring,Sindal,nord,860,839.0
127,Jammerbugt,Brovst,nord,849,803.0
128,Jammerbugt,Fjerritslev,nord,849,811.0
129,Jammerbugt,Pandrup,nord,849,835.0
130,Jammerbugt,Aabybro,nord,849,849.0
131,Læsø,Læsø,nord,825,825.0
132,Mariagerfjord,Arden,nord,846,801.0
133,Mariagerfjord,Hadsund,nord,846,815.0
134,Mariagerfjord,Hobro,nord,846,823.0
135,Mariagerfjord,Mariager,nord,846,719.0
136,Morsø,Morsø,nord,773,773.0
137,Rebild,Nørager,nord,840,833.0
138,Rebild,Skørping,nord,840,843.0
139,Rebild,Støvring,nord,840,845.0
140,Thisted,Hanstholm,nord,787,765.0
141,Thisted,Sydthy,nord,787,785.0
142,Thisted,Thisted,nord,787,787.0
143,Vesthimmerland,Farsø,nord,,809.0
144,Vesthimmerland,Løgstør,nord,,827.0
145,Vesthimmerland,Aalestrup,nord,,793.0
146,Vesthimmerland,Aars,nord,,861.0
147,Aalborg,Hals,nord,851,817.0
148,Aalborg,Nibe,nord,851,831.0
149,Aalborg,Sejlflod,nord,851,837.0
150,Aalborg,Aalborg,nord,851,851.0
151,Favrskov,Hadsten,midt,710,709.0
152,Favrskov,Hinnerup,midt,710,713.0
153,Favrskov,Hammel,midt,710,711.0
154,Favrskov,Hvorslev,midt,710,767.0
155,Hedensted,Hedensted,midt,766,613.0
156,Hedensted,Juelsminde,midt,766,619.0
157,Hedensted,Tørring-Uldum,midt,766,627.0
158,Herning,Aulum-Haderup,midt,657,651.0
159,Herning,Herning,midt,657,657.0
160,Herning,Trehøje,midt,657,677.0
161,Herning,Aaskov,midt,657,
162,Holstebro,Holstebro,midt,661,661.0
163,Holstebro,Ulfborg-Vemb,midt,661,679.0
164,Holstebro,Vinderup,midt,661,683.0
165,Horsens,Brædstrup,midt,615,601.0
166,Horsens,Gedved,midt,615,609.0
167,Horsens,Horsens,midt,615,615.0
168,Ikast-Brande,Brande,midt,756,653.0
169,Ikast-Brande,Ikast,midt,756,663.0
170,Ikast-Brande,Nørre Snede,midt,756,625.0
171,Lemvig,Lemvig,midt,665,665.0
172,Lemvig,Thyborøn-Harboøre,midt,665,673.0
173,Norddjurs,Grenaa,midt,707,707.0
174,Norddjurs,Nørre Djurs,midt,707,725.0
175,Norddjurs,Rougsø,midt,707,735.0
176,Odder,Odder,midt,727,727.0
177,Randers,Langå,midt,730,717.0
178,Randers,Nørhald,midt,730,723.0
179,Randers,Purhus,midt,730,729.0
180,Randers,Randers,midt,730,731.0
181,Ringkøbing-Skjern,Egvad,midt,760,655.0
182,Ringkøbing-Skjern,Holmsland,midt,760,659.0
183,Ringkøbing-Skjern,Ringkøbing,midt,760,667.0
184,Ringkøbing-Skjern,Skjern,midt,760,669.0
185,Ringkøbing-Skjern,Videbæk,midt,760,681.0
186,Samsø,Samsø,midt,741,741.0
187,Silkeborg,Gjern,midt,740,705.0
188,Silkeborg,Kjellerup,midt,740,771.0
189,Silkeborg,Silkeborg,midt,740,743.0
190,Silkeborg,Them,midt,740,749.0
191,Skanderborg,Galten,midt,746,703.0
192,Skanderborg,Hørning,midt,746,715.0
193,Skanderborg,Ry,midt,746,737.0
194,Skanderborg,Skanderborg,midt,746,745.0
195,Skive,Sallingsund,midt,779,777.0
196,Skive,Skive,midt,779,779.0
197,Skive,Spøttrup,midt,779,781.0
198,Skive,Sundsøre,midt,779,783.0
199,Struer,Struer,midt,671,671.0
200,Struer,Thyholm,midt,671,675.0
201,Syddjurs,Ebeltoft,midt,706,701.0
202,Syddjurs,Midtdjurs,midt,706,721.0
203,Syddjurs,Rosenholm,midt,706,733.0
204,Syddjurs,Rønde,midt,706,739.0
205,Viborg,Bjerringbro,midt,791,761.0
206,Viborg,Fjends,midt,791,763.0
207,Viborg,Karup,midt,791,769.0
208,Viborg,Møldrup,midt,791,775.0
209,Viborg,Tjele,midt,791,789.0
210,Viborg,Viborg,midt,791,791.0
211,Aarhus,Århus,midt,751,751.0
212,Faxe,Haslev,sjæl,320,313.0
213,Faxe,Fakse,sjæl,320,351.0
214,Faxe,Rønnede,sjæl,320,385.0
215,Greve,Greve,sjæl,253,253.0
216,Guldborgsund,Nykøbing-Falster,sjæl,376,369.0
217,Guldborgsund,Nysted,sjæl,376,371.0
218,Guldborgsund,Nørre Alslev,sjæl,376,375.0
219,Guldborgsund,Sakskøbing,sjæl,376,387.0
220,Guldborgsund,Stubbekøbing,sjæl,376,391.0
221,Guldborgsund,Sydfalster,sjæl,376,395.0
222,Holbæk,Holbæk,sjæl,316,315.0
223,Holbæk,Jernløse,sjæl,316,321.0
224,Holbæk,Svinninge,sjæl,316,339.0
225,Holbæk,Tornved,sjæl,316,341.0
226,Holbæk,Tølløse,sjæl,316,345.0
227,Kalundborg,Bjergsted,sjæl,326,301.0
228,Kalundborg,Gørlev,sjæl,326,309.0
229,Kalundborg,Hvidebæk,sjæl,326,317.0
230,Kalundborg,Høng,sjæl,326,319.0
231,Kalundborg,Kalundborg,sjæl,326,323.0
232,Køge,Køge,sjæl,259,259.0
233,Køge,Skovbo,sjæl,259,267.0
234,Lejre,Bramsnæs,sjæl,350,251.0
235,Lejre,Hvalsø,sjæl,350,257.0
236,Lejre,Lejre,sjæl,350,261.0
237,Lolland,Holeby,sjæl,360,355.0
238,Lolland,Højreby,sjæl,360,359.0
239,Lolland,Maribo,sjæl,360,363.0
240,Lolland,Nakskov,sjæl,360,367.0
241,Lolland,Ravnsborg,sjæl,360,379.0
242,Lolland,Rudbjerg,sjæl,360,381.0
243,Lolland,Rødby,sjæl,360,383.0
244,Næstved,Fuglebjerg,sjæl,370,307.0
245,Næstved,Fladså,sjæl,370,353.0
246,Næstved,Holmegaard,sjæl,370,357.0
247,Næstved,Næstved,sjæl,370,373.0
248,Næstved,Suså,sjæl,370,393.0
249,Odsherred,Dragsholm,sjæl,306,305.0
250,Odsherred,Nykøbing-Rørvig,sjæl,306,327.0
251,Odsherred,Trundholm,sjæl,306,343.0
252,Ringsted,Ringsted,sjæl,329,329.0
253,Roskilde,Gundsø,sjæl,265,255.0
254,Roskilde,Ramsø,sjæl,265,263.0
255,Roskilde,Roskilde,sjæl,265,265.0
256,Slagelse,Hashøj,sjæl,330,311.0
257,Slagelse,Korsør,sjæl,330,325.0
258,Slagelse,Skælskør,sjæl,330,331.0
259,Slagelse,Slagelse,sjæl,330,333.0
260,Solrød,Solrød,sjæl,269,269.0
261,Sorø,Dianalund,sjæl,340,303.0
262,Sorø,Sorø,sjæl,340,335.0
263,Sorø,Stenlille,sjæl,340,337.0
264,Stevns,Vallø,sjæl,336,271.0
265,Stevns,Stevns,sjæl,336,389.0
266,Vordingborg,Langebæk,sjæl,390,361.0
267,Vordingborg,Møn,sjæl,390,365.0
268,Vordingborg,Præstø,sjæl,390,377.0
269,Vordingborg,Vordingborg,sjæl,390,397.0
